id,name,open,labeled,commented,closed
MDU6SXNzdWUyMTU3NTg2NjM=,https://github.com/cucumber/cucumber-electron/issues/6,2017-03-21T14:29:17Z,,2017-03-21T15:09:40Z,2017-03-24T11:50:19Z
MDU6SXNzdWUyMTU5NjE0NjM=,https://github.com/cucumber/cucumber-electron/issues/7,2017-03-22T06:02:02Z,,2017-03-22T18:58:31Z,2018-03-11T09:35:21Z
MDU6SXNzdWUyMjA5Mzk1NTg=,https://github.com/cucumber/cucumber-electron/issues/8,2017-04-11T12:45:42Z,,2017-04-11T13:14:57Z,2017-05-05T09:45:01Z
MDU6SXNzdWUyMjYwNzEzMzE=,https://github.com/cucumber/cucumber-electron/issues/12,2017-05-03T18:17:16Z,,2017-05-05T10:32:14Z,2017-05-05T10:32:14Z
MDU6SXNzdWUyNTA3Mzg1MTI=,https://github.com/cucumber/cucumber-electron/issues/14,2017-08-16T19:46Z,,2017-08-17T13:50:04Z,2017-10-10T14:34:57Z
MDU6SXNzdWUyNTg0MDQ4OTc=,https://github.com/cucumber/cucumber-electron/issues/16,2017-09-18T08:41:18Z,,,2018-02-20T17:14:20Z
MDU6SXNzdWUyNTg2NjU0NDM=,https://github.com/cucumber/cucumber-electron/issues/17,2017-09-19T01:10:51Z,,2017-09-21T13:58:15Z,2017-10-10T14:35:46Z
MDU6SXNzdWUzMDQwODM0NzU=,https://github.com/cucumber/cucumber-electron/issues/24,2018-03-10T16:27:56Z,,2018-03-10T21:32:16Z,2018-03-11T09:33:33Z
MDU6SXNzdWUzMzE1MjYyODQ=,https://github.com/cucumber/cucumber-electron/issues/25,2018-06-12T10:18:56Z,,2018-06-15T11:55:18Z,2018-06-15T13:25:30Z
MDU6SXNzdWUzNDEwMTQ4OTI=,https://github.com/cucumber/cucumber-electron/issues/28,2018-07-13T13:15:27Z,,,2020-10-09T13:00:49Z
MDU6SXNzdWU1NDg0NjYzMTk=,https://github.com/cucumber/cucumber-electron/issues/35,2020-01-11T18:54:24Z,,2020-01-13T11:10:15Z,2020-01-13T11:10:15Z
MDU6SXNzdWU1Nzk5MzQ3NTE=,https://github.com/cucumber/cucumber-electron/issues/40,2020-03-12T13:21:44Z,,2020-05-16T19:02:01Z,2020-10-09T08:05:45Z
MDU6SXNzdWU2MTk1MzY2Mjk=,https://github.com/cucumber/cucumber-electron/issues/43,2020-05-16T19:04:03Z,2020-12-15T21:53:14Z,2020-10-09T12:35:02Z,2020-12-25T13:06:11Z
MDU6SXNzdWU3MTE5NzUyMDE=,https://github.com/cucumber/cucumber-electron/issues/49,2020-09-30T14:01:40Z,,2020-12-02T15:02:47Z,2020-12-02T10:24:50Z
MDU6SXNzdWU3NzE3MDIzNzg=,https://github.com/cucumber/cucumber-electron/issues/57,2020-12-20T20:59:16Z,,2020-12-21T21:06:16Z,2020-12-21T21:44:03Z
MDU6SXNzdWU4Njg5NzM2MDE=,https://github.com/cucumber/cucumber-electron/issues/58,2021-04-27T15:28:43Z,,,
MDU6SXNzdWU4Njk4MzA4NzY=,https://github.com/cucumber/cucumber-electron/issues/59,2021-04-28T11:16:01Z,,2021-06-04T12:12:38Z,2021-06-07T09:41:54Z
