id,name,open,labeled,commented,closed
MDU6SXNzdWUxNTc1MDI5Ng==,https://github.com/cucumber/cucumber-ruby-core/issues/3,2013-06-19T15:14:49Z,,2018-10-24T23:22:03Z,2013-07-24T09:02:03Z
MDU6SXNzdWUxNTc1MzE1Mg==,https://github.com/cucumber/cucumber-ruby-core/issues/5,2013-06-19T16:02:18Z,,2018-10-24T23:22:09Z,2013-07-17T14:41:15Z
MDU6SXNzdWUxNTc1MzQzOA==,https://github.com/cucumber/cucumber-ruby-core/issues/6,2013-06-19T16:06:35Z,,2018-10-24T23:22:13Z,2013-06-28T08:39:17Z
MDU6SXNzdWUxNTc1NDIyNQ==,https://github.com/cucumber/cucumber-ruby-core/issues/7,2013-06-19T16:21:10Z,,2018-10-24T23:21:57Z,2013-07-30T15:07:08Z
MDU6SXNzdWUxNjAwMDYwMA==,https://github.com/cucumber/cucumber-ruby-core/issues/8,2013-06-25T20:45:34Z,,2018-10-24T23:22:11Z,2013-07-17T14:40:17Z
MDU6SXNzdWUxNjA5NDIxMw==,https://github.com/cucumber/cucumber-ruby-core/issues/9,2013-06-27T15:16:13Z,,2018-10-24T23:21:59Z,2013-07-30T15:04:41Z
MDU6SXNzdWUxNjA5NDY0NA==,https://github.com/cucumber/cucumber-ruby-core/issues/10,2013-06-27T15:20:33Z,,2018-10-24T23:21:39Z,2013-11-05T10:45:40Z
MDU6SXNzdWUxNjA5NDc3MA==,https://github.com/cucumber/cucumber-ruby-core/issues/11,2013-06-27T15:21:48Z,,2018-10-24T23:22:05Z,2013-07-24T07:50:54Z
MDU6SXNzdWUxNjI4MzMyNg==,https://github.com/cucumber/cucumber-ruby-core/issues/13,2013-07-02T19:43:23Z,,2018-10-24T23:21:51Z,2013-08-02T20:36:05Z
MDU6SXNzdWUxNjI4NTk1MA==,https://github.com/cucumber/cucumber-ruby-core/issues/14,2013-07-02T20:33:08Z,2014-06-13T10:14:03Z,2018-10-24T22:21:29Z,2017-06-24T17:03:49Z
MDU6SXNzdWUxNjQ3NDAxMA==,https://github.com/cucumber/cucumber-ruby-core/issues/15,2013-07-08T14:32:55Z,,2018-10-24T23:22:07Z,2013-07-24T07:49:45Z
MDU6SXNzdWUxNzE0MzY1MQ==,https://github.com/cucumber/cucumber-ruby-core/issues/16,2013-07-24T07:49:18Z,,2018-10-24T23:21:45Z,2013-10-05T15:07:58Z
