id,name,open,labeled,commented,closed
MDU6SXNzdWU4OTg2NTI3NA==,https://github.com/cucumber/cucumber/issues/1,2015-06-21T04:55:56Z,,2018-10-25T01:39:18Z,2016-08-05T15:32:35Z
MDU6SXNzdWU5MDMyMDU5OA==,https://github.com/cucumber/cucumber/issues/2,2015-06-23T08:15:21Z,2017-03-16T22:44:43Z,2018-10-24T23:39:08Z,2017-07-10T21:05:35Z
MDU6SXNzdWU5ODM1NzQzNg==,https://github.com/cucumber/cucumber/issues/3,2015-07-31T09:59:04Z,,2018-10-25T01:39:46Z,2015-08-13T12:16:49Z
MDU6SXNzdWUxMDQ3NTE1MDU=,https://github.com/cucumber/cucumber/issues/4,2015-09-03T18:07:06Z,2017-03-16T22:44:53Z,2018-10-24T22:39:34Z,2017-09-09T06:45:38Z
MDU6SXNzdWUxMDUxOTAwNjE=,https://github.com/cucumber/cucumber/issues/5,2015-09-07T10:22:53Z,,2018-10-25T01:39:12Z,2015-09-07T10:24:34Z
MDU6SXNzdWUxMDUxOTM5OTU=,https://github.com/cucumber/cucumber/issues/6,2015-09-07T10:49:26Z,,2018-10-25T00:39:18Z,2017-03-16T22:45:52Z
MDU6SXNzdWUxMDk2ODA4NDY=,https://github.com/cucumber/cucumber/issues/7,2015-10-04T13:19:39Z,,2018-10-25T01:39:44Z,2015-10-04T13:27:30Z
MDU6SXNzdWUxMTIxNTA4NDE=,https://github.com/cucumber/cucumber/issues/8,2015-10-19T14:02:22Z,2017-11-08T10:55:25Z,2019-12-24T17:00:15Z,2017-11-15T11:28:36Z
MDU6SXNzdWUxMTIxODkxODE=,https://github.com/cucumber/cucumber/issues/9,2015-10-19T17:02:03Z,2017-11-08T10:55:26Z,2018-11-15T11:32:36Z,2017-11-15T11:28:35Z
MDU6SXNzdWUxMTQxMjc4MDc=,https://github.com/cucumber/cucumber/issues/10,2015-10-29T19:26:31Z,,2018-10-25T01:39:42Z,2015-10-29T20:43:23Z
MDU6SXNzdWUxMTQzMjU4MzM=,https://github.com/cucumber/cucumber/issues/11,2015-10-30T18:16:03Z,,2018-10-25T00:39:52Z,2016-12-08T04:32:15Z
MDU6SXNzdWUxMTQ4ODgxOTY=,https://github.com/cucumber/cucumber/issues/12,2015-11-03T19:13:50Z,,2018-10-25T00:39:50Z,2016-12-17T22:49:43Z
MDU6SXNzdWUxMTU3MDE1MTg=,https://github.com/cucumber/cucumber/issues/13,2015-11-08T00:17:09Z,2017-11-08T10:55:21Z,2018-11-08T16:47:50Z,2017-11-08T16:46:19Z
MDU6SXNzdWUxMTc1NDMyOTg=,https://github.com/cucumber/cucumber/issues/14,2015-11-18T09:09:17Z,,2018-10-25T01:39:38Z,2015-12-11T18:41:12Z
MDU6SXNzdWUxMTc1ODgxNDE=,https://github.com/cucumber/cucumber/issues/15,2015-11-18T13:35:44Z,,2018-10-25T01:39:40Z,2015-12-11T18:40:20Z
MDU6SXNzdWUxMjU0NTQ4NzY=,https://github.com/cucumber/cucumber/issues/16,2016-01-07T18:17:22Z,,2018-10-25T00:39:48Z,2016-12-24T20:50:48Z
MDU6SXNzdWUxMjY5NDU5NDI=,https://github.com/cucumber/cucumber/issues/17,2016-01-15T20:00:07Z,,2018-10-25T01:39:36Z,2016-01-18T20:43:46Z
MDU6SXNzdWUxMjk2ODgzODI=,https://github.com/cucumber/cucumber/issues/18,2016-01-29T07:23:18Z,,2018-10-25T00:39:20Z,2017-03-16T22:44:20Z
MDU6SXNzdWUxMzA3NDIxNTg=,https://github.com/cucumber/cucumber/issues/19,2016-02-02T16:46:53Z,,2018-10-25T01:39:34Z,2016-02-02T17:00:58Z
MDU6SXNzdWUxNDIxNTMzNTI=,https://github.com/cucumber/cucumber/issues/20,2016-03-20T11:21:37Z,,2018-10-25T00:39:22Z,2017-03-16T22:43:56Z
MDU6SXNzdWUxNDQyMTYxOTU=,https://github.com/cucumber/cucumber/issues/21,2016-03-29T09:58:47Z,,2018-10-25T00:39:14Z,2017-03-16T22:47:11Z
MDU6SXNzdWUxNTE2MzE4NzM=,https://github.com/cucumber/cucumber/issues/23,2016-04-28T12:42:20Z,,2018-10-25T00:39:16Z,2017-03-16T22:46:58Z
MDU6SXNzdWUxNTI5MDA0NTI=,https://github.com/cucumber/cucumber/issues/24,2016-05-03T23:49:42Z,,2018-10-25T01:39:32Z,2016-05-06T00:13:01Z
MDU6SXNzdWUxNTQxMjI5NTI=,https://github.com/cucumber/cucumber/issues/25,2016-05-10T22:41:29Z,2017-11-08T09:56:03Z,2018-11-15T10:32:50Z,2017-11-15T10:29:04Z
MDU6SXNzdWUxNTY5MTQwNTA=,https://github.com/cucumber/cucumber/issues/26,2016-05-26T06:33:42Z,,2019-01-10T08:16:59Z,2016-09-19T15:59:53Z
MDU6SXNzdWUxNTcyMDM3OTM=,https://github.com/cucumber/cucumber/issues/27,2016-05-27T13:13:27Z,,2018-10-25T01:39:26Z,2016-06-06T19:04:42Z
MDU6SXNzdWUxNTc2NTQ4MTQ=,https://github.com/cucumber/cucumber/issues/28,2016-05-31T12:02:06Z,,2018-10-25T01:39:28Z,2016-06-06T18:59:40Z
MDU6SXNzdWUxNTgxNzgxNjQ=,https://github.com/cucumber/cucumber/issues/29,2016-06-02T16:01:47Z,,2018-10-25T01:39:30Z,2016-06-03T07:06:46Z
MDU6SXNzdWUxNjA5NjM3MjU=,https://github.com/cucumber/cucumber/issues/30,2016-06-17T19:58:11Z,,2018-10-25T01:39:24Z,2016-06-17T21:11:21Z
MDU6SXNzdWUxNjUzODQwMzY=,https://github.com/cucumber/cucumber/issues/41,2016-07-13T18:02:54Z,,2018-10-25T01:39:22Z,2016-07-13T18:59:14Z
MDU6SXNzdWUxNjU3NTA0MzM=,https://github.com/cucumber/cucumber/issues/43,2016-07-15T09:52:53Z,2016-08-05T15:30:46Z,2018-10-25T01:39:08Z,2016-09-17T20:58:43Z
MDU6SXNzdWUxNjU3NTA2MzA=,https://github.com/cucumber/cucumber/issues/44,2016-07-15T09:53:59Z,2016-08-05T15:30:47Z,2018-10-24T22:39:08Z,2017-10-12T12:46:57Z
MDU6SXNzdWUxNjgwMzY5MjY=,https://github.com/cucumber/cucumber/issues/48,2016-07-28T08:06:48Z,,2018-10-25T01:39:20Z,2016-07-28T10:10:43Z
